FID,County,Station_Nu,name,Height__m_,Easting,Northing,Latitude,Longitude,Open_Year,Close_Year,Type
0,Buoys,62091,M2_Buoy,0,0,0,53.483600000000003,-5.430200000000000,2001, ,Buoy
1,Buoys,62092,M3_Buoy,0,0,0,51.215958000000001,-10.548261000000000,2002, ,Buoy
2,Buoys,62093,M4_Buoy,0,0,0,54.666699999999999,-9.066700000000001,2007, ,Buoy
3,Buoys,62094,M5_Buoy,0,0,0,51.690426000000002,-6.704336000000000,2004, ,Buoy
4,Buoys,62095,M6_Buoy,0,0,0,53.074820000000003,-15.881349999999999,2006, ,Buoy
5,Carlow,375,Oak_Park,62,273000,179500,52.856999999999999,-6.909000000000000,2003, ,Synoptic
6,Cavan,675,Ballyhaise,78,245200,311600,54.051000000000002,-7.306000000000000,2003, ,Synoptic
7,Cavan,4137,CAVAN (DRUMCONNICK),88,239685,305290,53.991000000000000,-7.391000000000000,1984, ,Climate
8,Clare,518,Shannon_Airport,15,137900,160300,52.686999999999998,-8.917000000000000,1937, ,Synoptic
9,Clare,1417,MULLAGH_Carrowlagan,56,105540,172755,52.792000000000002,-9.401000000000000,1984, ,Climate
10,Clare,1718,CARRON,145,127780,198525,53.026000000000003,-9.073000000000000,1974, ,Climate
11,Clare,5911,CRAGGAUNOWEN,61,146685,173435,52.805999999999997,-8.788000000000000,1993, ,Climate
12,Cork,201,GLENGARRIFF (Ilnacullin),7,93200,54700,51.734000000000002,-9.541000000000000,1940, ,Climate
13,Cork,575,Moore_Park,46,181900,101400,52.158000000000001,-8.257999999999999,2003, ,Synoptic
14,Cork,706,MALLOW_Hazelwood,94,155600,104500,52.186999999999998,-8.650000000000000,1925, ,Climate
15,Cork,775,SherkinIsland,21,100781,25801,51.472000000000001,-9.423000000000000,2004, ,Synoptic
16,Cork,1075,Roches_Point,40,182779,60625,51.789000000000001,-8.240000000000000,2004, ,Synoptic
17,Cork,3402,SHERKIN ISLAND,20,100820,25760,51.472000000000001,-9.423999999999999,1972, ,Climate
18,Cork,3904,Cork_Airport,155,166500,66200,51.841999999999999,-8.484999999999999,1961, ,Synoptic
19,Cork,6204,BALLINCURRIG_(Peafield),158,186285,84265,52.006999999999998,-8.199999999999999,1995, ,Climate
20,Cork,6304,CLOYNE (LISANLEY),55,190600,67100,51.853999999999999,-8.135000000000000,1996, ,Climate
21,Cork,7406,MALLOW_(SpaHouse),61,156500,98700,52.137000000000000,-8.634000000000000,1996, ,Climate
22,Donegal,441,Glenties_Hatchery,44,181510,393730,54.787999999999997,-8.286000000000000,1923, ,Climate
23,Donegal,1575,Malin_head,20,241939,458562,55.372000000000000,-7.339000000000000,2009, ,Synoptic
24,Donegal,2075,Finner,33,184300,360635,54.490000000000002,-8.239000000000001,2010, ,Synoptic
25,Donegal,2237,BALLYSHANNON (CATHLEEN'S FALL),38,188660,361120,54.491999999999997,-8.172000000000001,1945, ,Climate
26,Dublin,175,PhoenixPark,48,310000,236100,53.357999999999997,-6.342000000000000,2003, ,Synoptic
27,Dublin,532,Dublin_Airport,71,316900,243400,53.423000000000002,-6.238000000000000,1939, ,Synoptic
28,Dublin,1823,DUBLIN (GLASNEVIN),21,315000,237000,53.369000000000000,-6.270000000000000,1860, ,Climate
29,Dublin,3723,Casement,91,304100,229500,53.302999999999997,-6.437000000000000,1944, ,Synoptic
30,Dublin,3923,DUBLIN (MERRION SQUARE),13,316400,233500,53.337000000000003,-6.252000000000000,1948, ,Climate
31,Dublin,9223,DUN LAOGHAIRE,30,324500,227800,53.284999999999997,-6.126000000000000,1997, ,Climate
32,Galway,275,Mace_Head,21,73400,232276,53.322000000000003,-9.901000000000000,2003, ,Synoptic
33,Galway,1425,CLOOSH (FOR.STN.),101,110865,235215,53.356000000000002,-9.337000000000000,1963, ,Climate
34,Galway,1875,Athenry,40,147659,226804,53.286999999999999,-8.785000000000000,2010, ,Synoptic
35,Galway,4827,MAAM VALLEY,58,93390,255295,53.534999999999997,-9.605000000000000,1983, ,Climate
36,Kerry,1609,ARDFERT (LISCAHANE),30,79100,119200,52.307000000000002,-9.771000000000001,1980, ,Climate
37,Kerry,2275,Valentia_Observatory,24,45940,78555,51.936000000000000,-10.238000000000000,2010, ,Synoptic
38,Kerry,3010,LISTOWEL_(Gurtocloghane),125,99900,125900,52.372000000000000,-9.468000000000000,2000, ,Climate
39,Kerry,3205,KILLARNEY (MUCKROSS HSE.),58,97200,86200,52.017000000000003,-9.492000000000001,1968, ,Climate
40,Kerry,3410,LISTOWEL-Bunaghara,34,103305,133215,52.439000000000000,-9.420000000000000,2013, ,Climate
41,Kerry,4705,DOOKS,15,67900,92400,52.067000000000000,-9.923000000000000,1996, ,Climate
42,Kildare,6414,ATHY (CHANTERLANDS),61,268800,193200,52.984000000000002,-6.972000000000000,1993, ,Climate
43,Kildare,7214,Lullymore_Nature_Centre,85,270500,225900,53.274000000000001,-6.939000000000000,2010, ,Climate
44,Kilkenny,5613,KILKENNY_Greenshill,61,250500,156900,52.656999999999996,-7.253000000000000,2010, ,Climate
45,Laois,3513,SLIEVE BLOOM MTNS.(NEALSTOWN),219,219900,193600,52.988999999999997,-7.703000000000000,1953, ,Climate
46,Laois,5513,DURROW,84,241200,177300,52.840000000000003,-7.386000000000000,2010, ,Climate
47,Leitrim,5937,BALLINAMORE (CREEVY NO.2),72,210600,311200,54.042999999999999,-7.836000000000000,2006, ,Climate
48,Limerick,5306,MOUNT RUSSELL,195,161250,119905,52.323999999999998,-8.568000000000000,1984, ,Climate
49,Limerick,6011,SPRINGFIELD CASTLE,110,135215,122385,52.343000000000004,-8.951000000000001,1994, ,Climate
50,Louth,538,DUNDALK(ANNASKEAGH W.W.),61,308015,312670,54.051000000000002,-6.351000000000000,1914, ,Climate
51,Louth,2638,ARDEE (BOHARNAMOE),31,294194,290338,53.853000000000002,-6.568000000000000,1968, ,Climate
52,Mayo,833,NEWPORT (FURNACE),14,96830,298230,53.920999999999999,-9.569000000000001,1959, ,Climate
53,Mayo,1175,Newport,22,96731,298267,53.920000000000002,-9.570000000000000,2005, ,Synoptic
54,Mayo,2175,Claremorris,68,134523,273883,53.707000000000001,-8.989000000000001,2010, ,Synoptic
55,Mayo,2375,Belmullet,9,69170,332818,54.222999999999999,-10.004000000000000,2012, ,Synoptic
56,Mayo,2426,DELPHI LODGE II,30,84465,266170,53.625999999999998,-9.742000000000001,1993, ,Climate
57,Mayo,2834,BALLYCROY-Knockmoyleen,107,79395,313570,54.054000000000002,-9.839000000000000,2012, ,Climate
58,Mayo,3335,STRAIDE,21,126045,297880,53.921999999999997,-9.122000000000000,1963, ,Climate
59,Mayo,4535,BELDERRIG,66,98075,341305,54.305999999999997,-9.567000000000000,1986, ,Climate
60,Mayo,4935,Knock_Airport,201,146783,296363,53.904000000000003,-8.817000000000000,1986, ,Synoptic
61,Mayo,5535,BALLINA GOLF CLUB,24,125880,318240,54.104999999999997,-9.134000000000000,2000, ,Climate
62,Meath,1375,Dunsany,83,288898,252606,53.509999999999998,-6.656000000000000,2006, ,Synoptic
63,Meath,5931,Dunmoe-Graigs_Lane,84,289485,271750,53.686000000000000,-6.641000000000000,2011, ,Climate
64,Monaghan,2038,CARRICKMACROSS (DUNOGE),88,281735,303600,53.972000000000001,-6.753000000000000,1958, ,Climate
65,Offaly,3431,DERRYGREENAGH,90,249300,238200,53.387999999999998,-7.255000000000000,1955, ,Climate
66,Offaly,3522,HORSELEAP,72,227927,236940,53.375999999999998,-7.575000000000000,2007, ,Climate
67,Offaly,6314,EDENDERRY (BALLINLA),91,258300,231600,53.325000000000003,-7.122000000000000,1990, ,Climate
68,Roscommon,1975,Mt_Dillon,39,201306,275240,53.722999999999999,-7.975000000000000,2003, ,Synoptic
69,Roscommon,2928,ATHLEAGUE,61,181800,257500,53.567000000000000,-8.272000000000000,2010, ,Climate
70,Roscommon,6729,BALLYMORE,119,178530,299320,53.939000000000000,-8.323000000000000,1995, ,Climate
71,Sligo,1275,Markree,34,169860,325582,54.171999999999997,-8.452999999999999,2005, ,Synoptic
72,Sligo,2736,ARDTARMON,18,159580,343480,54.335999999999999,-8.619999999999999,1985, ,Climate
73,Sligo,2936,SLIGO AIRPORT,14,161050,336890,54.274000000000001,-8.592000000000001,1988, ,Climate
74,Tipperary,1475,Gurteen,75,199466,198376,53.052000000000000,-8.005000000000001,2008, ,Synoptic
75,Tipperary,6712,LITTLETON II B. NA M.,126,220380,151170,52.606999999999999,-7.700000000000000,1982, ,Climate
76,Tipperary,7112,FETHARD (PARSONSHILL),165,223845,140320,52.509000000000000,-7.643000000000000,1984, ,Climate
77,Tipperary,7612,CASHEL (BALLYDOYLE HOUSE),123,211735,134390,52.457000000000001,-7.823000000000000,1988, ,Climate
78,Waterford,1407,DUNGARVAN (CARRIGLEA),18,221805,92850,52.085999999999999,-7.676000000000000,1983, ,Climate
79,Waterford,1812,WATERFORD (TYCOR),49,259400,111600,52.252000000000002,-7.125000000000000,1886, ,Climate
80,Westmeath,875,Mullingar,101,243000,254300,53.536000000000001,-7.357000000000000,2002, ,Synoptic
81,Wexford,1116,CAHORE (KILMICHAEL HOUSE),30,321350,147150,52.558000000000000,-6.207000000000000,1984, ,Climate
82,Wexford,1775,JohnstownII,62,302631,117200,52.292000000000002,-6.491000000000000,2009, ,Synoptic
83,Wexford,4815,WEXFORD WILDFOWL RESERVE,1,307668,123964,52.353999999999999,-6.419000000000000,1992, ,Climate
84,Wexford,5415,CLONROCHE (KNOXTOWN),117,282385,133120,52.439999999999998,-6.787000000000000,2003, ,Climate
85,Wicklow,2824,GLENEALY (KILMACURRAGH PARK),122,324471,188065,52.923999999999999,-6.143000000000000,1981, ,Climate
86,Wicklow,3924,ASHFORD (CRONYKEERY),15,329195,198845,53.021999999999998,-6.072000000000000,2001, ,Climate
