FID,Year,Sample,Station,SWD_Water,WFD_Water,Date,Time,Month,Programme,Survey,Latitude,Longitude,Water_Dept,Depth__m_,ammonium__,Field16,colored_di,density__k,dissolved,dissolve_1,dissolve_2,dissolve_3,nitrate__,nitrite__N,organic_ca,phosphate,TOoxN,Phos,Salinity_,salinity1,sigma_t,temperatur,total_alka,total_nitr,total_ni_1,total_phos
0,2011,527,IA37D91, , ,10/01/2011 00:00:00,420,January,OSS,CE11001,54.369700000000002,-10.740000000000000,262.000000000000000,255.469999999999999, , , , , , ,241.35, ,9.890000000000001,<0.04, ,0.6,9.890000000000001,0.600000000000000,0.000000000000000,35.502000000000002, ,10.460000000000001, , , , 
1,2011,527,IA37D91, , ,10/01/2011 00:00:00,420,January,OSS,CE11001,54.369700000000002,-10.740000000000000,262.000000000000000,4.050000000000000, , , , , , ,239.83, ,10.699999999999999,<0.04, ,0.58,10.699999999999999,0.580000000000000,35.493000000000002,35.491000000000000, ,10.460000000000001, , , , 
2,2011,526,IA37D87, , ,10/01/2011 00:00:00,230,January,OSS,CE11001,54.488999999999997,-11.047000000000001,409.000000000000000,484.240000000000009, , , , , , ,224.27, ,12.000000000000000,nd(<0.01), ,0.76,12.000000000000000,0.760000000000000,35.463999999999999,35.462000000000003, ,10.330000000000000, , , , 
3,2011,526,IA37D87, , ,10/01/2011 00:00:00,230,January,OSS,CE11001,54.488999999999997,-11.047000000000001,409.000000000000000,198.819999999999993, , , , , , ,239.7, ,10.300000000000001,nd(<0.01), ,0.63,10.300000000000001,0.630000000000000,35.481000000000002,35.478999999999999, ,10.490000000000000, , , , 
4,2011,526,IA37D87, , ,10/01/2011 00:00:00,230,January,OSS,CE11001,54.488999999999997,-11.047000000000001,409.000000000000000,2.970000000000000, , , , , , ,240.5, ,10.300000000000001,nd(<0.01), ,0.63,10.300000000000001,0.630000000000000,35.485999999999997,35.481999999999999, ,10.480000000000000, , , , 
5,2011,525,IA38D89, , ,10/01/2011 00:00:00,123,January,OSS,CE11001,54.520699999999998,-11.129000000000000,740.000000000000000,738.549999999999955, , , , , , ,220.13, ,14.000000000000000,nd(<0.01), ,0.83,14.000000000000000,0.830000000000000,35.417999999999999,35.415999999999997, ,9.820000000000000, , , , 
6,2011,525,IA38D89, , ,10/01/2011 00:00:00,123,January,OSS,CE11001,54.520699999999998,-11.129000000000000,740.000000000000000,600.090000000000032, , , , , , ,224.35, ,12.300000000000001,nd(<0.01), ,0.79,12.300000000000001,0.790000000000000,35.454999999999998,35.451999999999998, ,10.260000000000000, , , , 
7,2011,525,IA38D89, , ,10/01/2011 00:00:00,123,January,OSS,CE11001,54.520699999999998,-11.129000000000000,740.000000000000000,498.759999999999991, , , , , , ,238.68, ,10.600000000000000,nd(<0.01), ,0.64,10.600000000000000,0.640000000000000,35.475999999999999,35.473999999999997, ,10.500000000000000, , , , 
8,2011,525,IA38D89, , ,10/01/2011 00:00:00,123,January,OSS,CE11001,54.520699999999998,-11.129000000000000,740.000000000000000,198.590000000000003, , , , , , ,240.47, ,10.500000000000000,nd(<0.01), ,0.63,10.500000000000000,0.630000000000000,35.481000000000002,35.478999999999999, ,10.490000000000000, , , , 
9,2011,525,IA38D89, , ,10/01/2011 00:00:00,123,January,OSS,CE11001,54.520699999999998,-11.129000000000000,740.000000000000000,5.230000000000000, , , , , , ,239.72, ,10.900000000000000,<0.04, ,0.62,10.900000000000000,0.620000000000000,35.484000000000002,35.482999999999997, ,10.500000000000000, , , , 
10,2011,524,IA38D89, , ,10/01/2011 00:00:00,5,January,OSS,CE11001,54.549799999999998,-11.190700000000000,1025.000000000000000,1023.590000000000032, , , , , , ,200.42, ,17.000000000000000,<0.04, ,1.17,17.000000000000000,1.170000000000000,0.000000000000000,35.225000000000001, ,7.200000000000000, , , , 
11,2011,524,IA38D89, , ,10/01/2011 00:00:00,5,January,OSS,CE11001,54.549799999999998,-11.190700000000000,1025.000000000000000,698.789999999999964, , , , , , ,222.27, ,13.800000000000001,nd(<0.01), ,0.85,13.800000000000001,0.850000000000000,0.000000000000000,35.404000000000003, ,9.720000000000001, , , , 
12,2011,524,IA38D89, , ,10/01/2011 00:00:00,5,January,OSS,CE11001,54.549799999999998,-11.190700000000000,1025.000000000000000,448.160000000000025, , , , , , ,229.44, ,12.000000000000000,nd(<0.01), ,0.74,12.000000000000000,0.740000000000000,0.000000000000000,35.459000000000003, ,10.380000000000001, , , , 
13,2011,524,IA38D89, , ,10/01/2011 00:00:00,5,January,OSS,CE11001,54.549799999999998,-11.190700000000000,1025.000000000000000,200.979999999999990, , , , , , ,240.03, ,10.600000000000000,nd(<0.01), ,0.65,10.600000000000000,0.650000000000000,0.000000000000000,35.481000000000002, ,10.520000000000000, , , , 
14,2011,524,IA38D89, , ,10/01/2011 00:00:00,5,January,OSS,CE11001,54.549799999999998,-11.190700000000000,1025.000000000000000,7.830000000000000, , , , , , ,239.94, ,10.500000000000000,nd(<0.01), ,0.65,10.500000000000000,0.650000000000000,35.484000000000002,35.481999999999999, ,10.490000000000000, , , , 
