chapter,chapt_no,chapt_title,domain,sub_domain,figure_no,variable,available_data,unit
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.1.,surface_air_temperature,mean__annual__surface_air_temperature,C
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.1.,surface_air_temperature,moving_average__11year__surface_air_temperature,C
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.2.,surface_air_temperature,min__winter__surface_air_temperature,C
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.2.,surface_air_temperature,min__summer__surface_air_temperature,C
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.1.,surface_air_temperature_anomaly,mean__annual__surface_air_temperature_anomaly,C
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.1.,surface_air_temperature_anomaly,moving_average__11year__surface_air_temperature_anomaly,C
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.3.,cold_spell_days,sum__annual__cold_spell_days,days
2.1 Surface Air Temperature,2.1 ,Surface Air Temperature,atmoshperic,sa,2.3.,warm_spell_days,sum__annual__warm_spell_days,days
2.2 Surface Wind Speed and Direction,2.2 ,Surface Wind Speed and Direction,atmoshperic,sa,2.4.,wind_speed,mean__annual__wind_speed,m/s
2.2 Surface Wind Speed and Direction,2.2 ,Surface Wind Speed and Direction,atmoshperic,sa,2.4.,wind_speed,moving_average__11year__wind_speed,m/s
2.2 Surface Wind Speed and Direction,2.2 ,Surface Wind Speed and Direction,atmoshperic,sa,2.5.,wind_to_direction,wind_to_direction,degree
2.2 Surface Wind Speed and Direction,2.2 ,Surface Wind Speed and Direction,atmoshperic,sa,2.4.,gale_gust_days,sum__annual__gale_gust_days,days
2.2 Surface Wind Speed and Direction,2.2 ,Surface Wind Speed and Direction,atmoshperic,sa,2.4.,gale_gust_days,moving_average_of_sum__11year__gale_gust_days,days
2.3 Water Vapour,2.3 ,Water Vapour,atmoshperic,sa,2.6.,water_vapor_partial_pressure_in_air,mean__monthly__water_vapor_partial_pressure_in_air,hPa
2.3 Water Vapour,2.3 ,Water Vapour,atmoshperic,sa,2.6.,water_vapor_partial_pressure_in_air,mean__annual__water_vapor_partial_pressure_in_air,hPa
2.4 Atmospheric Pressure,2.4 ,Atmospheric Pressure,atmoshperic,sa,2.8.,surface_air_pressure,mean__monthly__surface_air_pressure,hPa
2.4 Atmospheric Pressure,2.4 ,Atmospheric Pressure,atmoshperic,sa,2.8.,surface_air_pressure,max__annual__surface_air_pressure,hPa
2.4 Atmospheric Pressure,2.4 ,Atmospheric Pressure,atmoshperic,sa,2.8.,surface_air_pressure,min__annual__surface_air_pressure,hPa
2.4 Atmospheric Pressure,2.4 ,Atmospheric Pressure,atmoshperic,sa,2.8.,surface_air_pressure,max__monthly__surface_air_pressure,hPa
2.4 Atmospheric Pressure,2.4 ,Atmospheric Pressure,atmoshperic,sa,2.8.,surface_air_pressure,min__monthly__surface_air_pressure,hPa
